player_name,season,team,position,age,games_played,salary,salary_formatted,salary_rank,pg_points,pg_rebounds,pg_assists,pg_steals,pg_blocks,PER,TS_pct,usage_pct,WS,VORP,BPM,OBPM,DBPM,points_per_million,salary_per_WS,salary_per_VORP,value_score,value_category,season_year
Naz Reid,2024-25,MIN,C,25.0,80.0,13986432,"$13,986,432",117,14.2,6.0,2.3,0.7,0.9,15.8,0.577,21.5,5.7,2.0,1.6,0.8,0.8,1.02,2453760.0,6993216.0,14.3,Good Value,2024
Deni Avdija,2024-25,POR,SF,24.0,72.0,15625000,"$15,625,000",108,16.9,7.3,3.9,1.0,0.5,17.7,0.605,23.2,5.6,2.2,2.1,1.5,0.6,1.08,2790179.0,7102273.0,14.08,Good Value,2024
Mike Conley,2024-25,MIN,PG,37.0,71.0,9975962,"$9,975,962",164,8.2,2.6,4.5,1.1,0.2,13.3,0.573,14.4,5.2,1.4,1.2,-0.1,1.3,0.82,1918454.0,7125687.0,14.03,Fair Value,2024
Donte DiVincenzo,2024-25,MIN,SG,28.0,62.0,11445000,"$11,445,000",144,11.7,3.7,3.6,1.2,0.3,14.1,0.582,19.4,3.9,1.6,1.9,0.8,1.1,1.02,2934615.0,7153125.0,13.98,Fair Value,2024
Neemias Queta,2024-25,BOS,C,25.0,62.0,2162606,"$2,162,606",376,5.0,3.8,0.7,0.3,0.7,16.3,0.674,13.7,3.2,0.3,-0.7,-1.7,1.0,2.31,675814.0,7208687.0,13.87,Fair Value,2024
Jayson Tatum,2024-25,BOS,PF,26.0,72.0,34848340,"$34,848,340",39,26.8,8.7,6.0,1.1,0.5,21.7,0.582,31.2,9.5,4.8,5.2,4.4,0.8,0.77,3668246.0,7260071.0,13.77,Star - Excellent Value,2024
Al Horford,2024-25,BOS,C,38.0,60.0,9500000,"$9,500,000",169,9.0,6.2,2.1,0.6,0.9,12.9,0.563,13.8,4.4,1.3,1.2,0.1,1.1,0.95,2159091.0,7307692.0,13.68,Fair Value,2024
Dalano Banton,2024-25,POR,PG,25.0,67.0,2196970,"$2,196,970",372,8.3,2.0,2.4,0.6,0.5,12.9,0.497,24.1,0.8,0.3,-0.8,-0.6,-0.2,3.78,2746212.0,7323233.0,13.66,Fair Value,2024
Jalen Green,2024-25,HOU,SG,22.0,82.0,12483048,"$12,483,048",137,21.0,4.6,3.4,0.9,0.3,15.1,0.544,27.3,5.1,1.7,0.5,1.1,-0.5,1.68,2447656.0,7342969.0,13.62,Fair Value,2024
Giannis Antetokounmpo,2024-25,MIL,PF,30.0,67.0,48787676,"$48,787,676",12,30.4,11.9,6.5,0.9,1.2,30.5,0.625,35.2,11.5,6.6,9.5,6.9,2.5,0.62,4242407.0,7392072.0,13.53,Star - Excellent Value,2024
Nikola Vučević,2024-25,CHI,C,34.0,73.0,20000000,"$20,000,000",84,18.5,10.1,3.5,0.8,0.7,20.3,0.611,22.4,7.3,2.7,2.6,2.5,0.1,0.92,2739726.0,7407407.0,13.5,Good Value,2024
Daniel Gafford,2024-25,DAL,C,26.0,57.0,13394160,"$13,394,160",119,12.3,6.8,1.4,0.4,1.8,24.7,0.716,19.5,5.9,1.8,3.8,2.7,1.1,0.92,2270197.0,7441200.0,13.44,Fair Value,2024
