season,team,roster_count,total_payroll,avg_salary,max_salary,min_salary,avg_ppg,avg_rpg,avg_apg,avg_spg,avg_bpg,avg_fg_pct,avg_3pt_pct,avg_ts_pct,avg_efg_pct,avg_PER,total_WS,avg_WS,total_VORP,avg_VORP,avg_BPM,avg_OBPM,avg_DBPM,team_total_points,team_total_rebounds,team_total_assists,payroll_per_WS,payroll_per_VORP,season_year
2023-24,CHI,14,143620388.0,10258599.0,40064220,500000,10.16,3.88,2.24,0.7,0.44,0.456,0.309,0.552,0.526,12.89,39.2,2.8,8.0,0.57,-1.67,-1.36,-0.3,9049.0,3486.0,2039.0,3663785.0,17952548.0,2023
2023-24,ATL,16,131272979.0,10097921.0,40064220,1112933,10.29,3.92,2.43,0.68,0.41,0.448,0.298,0.554,0.525,12.43,37.5,2.34,7.7,0.48,-2.06,-1.32,-0.74,9637.0,3622.0,2173.0,3500613.0,17048439.0,2023
2023-24,BRK,18,142724172.0,10194584.0,37893408,241285,9.25,3.94,2.43,0.58,0.44,0.467,0.331,0.56,0.534,14.12,35.4,1.97,6.5,0.36,-1.01,-0.81,-0.22,9016.0,3599.0,2090.0,4031756.0,21957565.0,2023
2023-24,UTA,18,136179299.0,9078620.0,25340000,2066585,9.49,3.86,2.17,0.54,0.47,0.467,0.33,0.572,0.54,13.33,29.9,1.66,4.4,0.24,-1.89,-0.74,-1.16,9369.0,3663.0,2192.0,4554492.0,30949841.0,2023
2023-24,MEM,20,89704035.0,6900310.0,27102202,64343,10.35,4.22,2.6,0.86,0.59,0.439,0.341,0.54,0.511,12.65,24.6,1.23,3.5,0.18,-1.78,-1.98,0.2,8106.0,3202.0,1850.0,3646505.0,25629724.0,2023
2023-24,SAS,16,97011357.0,6467424.0,20000000,1015402,8.95,3.71,2.41,0.59,0.54,0.474,0.299,0.571,0.541,13.31,26.7,1.67,3.4,0.21,-1.64,-1.58,-0.04,9120.0,3598.0,2433.0,3633384.0,28532752.0,2023
2023-24,TOR,23,213070774.0,11214251.0,37893408,849324,9.95,3.93,2.59,0.7,0.48,0.459,0.303,0.549,0.519,13.0,26.8,1.17,3.2,0.14,-2.39,-1.72,-0.66,9114.0,3425.0,2307.0,7950402.0,66584617.0,2023
2023-24,POR,18,147029912.0,9801994.0,32459438,850000,10.04,3.93,2.37,0.69,0.42,0.435,0.318,0.522,0.495,11.93,21.4,1.19,0.1,0.01,-2.65,-2.17,-0.49,8633.0,3440.0,1876.0,6870557.0,1470299120.0,2023
2023-24,DET,24,164284901.0,7823091.0,20000000,64343,9.64,3.58,1.92,0.6,0.37,0.45,0.313,0.56,0.529,11.89,21.9,0.88,-0.3,-0.01,-2.49,-1.68,-0.82,9389.0,3572.0,2114.0,7501594.0,,2023
2023-24,WAS,22,150834268.0,8379682.0,27955357,1459782,8.47,3.5,1.96,0.62,0.45,0.468,0.352,0.561,0.529,13.76,20.7,0.94,-0.6,-0.03,-2.23,-1.61,-0.63,9325.0,3365.0,2287.0,7286680.0,,2023
2023-24,3TM,7,19835428.0,3967086.0,6802950,659454,4.14,1.64,1.21,0.31,0.11,0.422,0.303,0.543,0.505,11.36,3.1,0.44,-0.9,-0.13,-2.64,-2.04,-0.59,1261.0,502.0,361.0,6398525.0,,2023
2023-24,CHO,23,156545858.0,9208580.0,33319397,395708,9.9,3.7,2.63,0.71,0.4,0.448,0.333,0.545,0.513,12.52,18.3,0.8,-1.8,-0.08,-2.9,-1.86,-1.03,8626.0,3249.0,2011.0,8554418.0,,2023
2022-23,2TM,68,571030326.0,8922349.0,46295265,122836,8.24,3.29,1.87,0.58,0.35,0.459,0.351,0.567,0.541,13.04,138.3,2.03,27.4,0.4,-1.32,-1.2,-0.13,32373.0,12656.0,7630.0,4128925.0,20840523.0,2022
2022-23,BOS,16,174012472.0,11600831.0,30351780,1160955,9.43,3.99,2.17,0.54,0.48,0.476,0.326,0.584,0.563,13.69,57.2,3.58,18.0,1.13,0.04,-0.74,0.8,9660.0,3703.0,2183.0,3042176.0,9667360.0,2022
2022-23,CLE,15,143955660.0,11073512.0,30913750,1782621,9.52,3.7,2.18,0.63,0.41,0.479,0.334,0.577,0.546,13.59,55.2,3.68,15.5,1.03,-0.09,-1.0,0.91,9123.0,3350.0,2035.0,2607892.0,9287462.0,2022
