player_name,season,team,position,age,games_played,games_started,games_started_percentage,awards,salary,salary_formatted,salary_rank,mpg,ppg,rpg,apg,spg,bpg,tov_pg,pf_pg,fg_pct,three_pt_pct,ft_pct,efg_pct,three_pm_pg,three_pa_pg,total_points,total_rebounds,total_assists,total_steals,total_blocks,PER,TS_pct,usage_pct,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,points_per_million,salary_per_win_share,salary_per_vorp,salary_tier,scoring_tier,impact_tier,is_mvp_candidate,is_allstar,is_all_nba_first,is_dpoy_candidate,season_year
Anthony Davis,2024-25,LAL,C,31.0,42.0,42.0,100.0,,43219440.0,"$43,219,440",17.0,34.3,25.7,11.9,3.4,1.3,2.1,2.2,2.0,0.528,0.298,0.788,0.546,0.7,2.2,1081.0,499.0,141.0,54.0,90.0,27.1,0.601,30.2,9.6,28.9,19.5,17.1,1.8,5.9,9.4,3.6,2.6,6.2,0.207,4.5,1.5,6.0,2.9,0.59,6970877.0,14903255.0,Top 30 (Max),Elite Scorer (25+ PPG),Above Average (2-4 VORP),0,0,0,0,2024
Anthony Davis,2024-25,2TM,C,31.0,51.0,51.0,100.0,AS,43219440.0,"$43,219,440",17.0,33.5,24.7,11.6,3.5,1.2,2.2,2.2,1.9,0.516,0.282,0.775,0.536,0.7,2.4,1261.0,590.0,181.0,59.0,110.0,26.3,0.588,30.4,9.1,29.1,19.4,18.3,1.7,6.0,9.5,3.7,3.0,6.7,0.188,3.9,1.5,5.4,3.2,0.57,6450663.0,13506075.0,Top 30 (Max),All-Star (20-25 PPG),Above Average (2-4 VORP),0,1,0,0,2024
Luka Dončić,2024-25,2TM,PG,25.0,50.0,50.0,100.0,,43031940.0,"$43,031,940",18.0,35.4,28.2,8.2,7.7,1.8,0.4,3.6,2.5,0.45,0.368,0.782,0.536,3.5,9.6,1408.0,409.0,383.0,89.0,21.0,24.1,0.587,33.9,2.6,22.6,12.8,36.1,2.5,1.1,13.0,3.5,2.4,5.9,0.16,5.5,1.2,6.7,3.9,0.66,7293549.0,11033831.0,Top 30 (Max),Elite Scorer (25+ PPG),Above Average (2-4 VORP),0,0,0,0,2024
Luka Dončić,2024-25,LAL,PG,25.0,28.0,28.0,100.0,,43031940.0,"$43,031,940",18.0,35.1,28.2,8.1,7.5,1.6,0.4,3.7,2.4,0.438,0.379,0.791,0.53,3.6,9.6,789.0,226.0,211.0,45.0,12.0,23.9,0.59,34.5,2.8,22.5,12.9,35.6,2.2,1.1,13.5,2.0,1.4,3.4,0.164,5.5,1.1,6.5,2.1,0.66,12656453.0,20491400.0,Top 30 (Max),Elite Scorer (25+ PPG),Above Average (2-4 VORP),0,0,0,0,2024
Luka Dončić,2024-25,DAL,PG,25.0,22.0,22.0,100.0,,43031940.0,"$43,031,940",18.0,35.7,28.1,8.3,7.8,2.0,0.4,3.4,2.6,0.464,0.354,0.767,0.544,3.4,9.6,619.0,183.0,172.0,44.0,9.0,24.2,0.584,33.1,2.3,22.7,12.7,36.7,2.7,1.0,12.4,1.5,1.1,2.5,0.155,5.5,1.4,6.9,1.8,0.65,17212776.0,23906633.0,Top 30 (Max),Elite Scorer (25+ PPG),Average (0-2 VORP),0,0,0,0,2024
Trae Young,2024-25,ATL,PG,26.0,76.0,76.0,100.0,"CPOY-4,AS",43031940.0,"$43,031,940",18.0,36.0,24.2,3.1,11.6,1.2,0.2,4.7,1.9,0.411,0.34,0.875,0.491,2.9,8.4,1841.0,236.0,880.0,91.0,12.0,18.3,0.567,29.6,1.4,8.2,4.7,46.4,1.6,0.4,17.9,4.4,1.3,5.7,0.1,3.3,-2.7,0.5,1.7,0.56,7549463.0,25312906.0,Top 30 (Max),All-Star (20-25 PPG),Average (0-2 VORP),0,1,0,0,2024
Fred VanVleet,2024-25,HOU,PG,30.0,60.0,60.0,100.0,,42846615.0,"$42,846,615",20.0,35.2,14.1,3.7,5.6,1.6,0.4,1.5,2.3,0.378,0.345,0.81,0.483,2.7,7.7,844.0,221.0,333.0,94.0,25.0,12.8,0.515,17.7,1.6,9.7,5.6,21.2,2.2,1.1,9.6,2.4,2.8,5.2,0.119,-0.4,1.3,0.9,1.5,0.33,8239734.0,28564410.0,Top 30 (Max),Role Player (10-15 PPG),Average (0-2 VORP),0,0,0,0,2024
Anthony Edwards,2024-25,MIN,SG,23.0,79.0,79.0,100.0,"MVP-7,CPOY-3,AS,NBA2",42176400.0,"$42,176,400",21.0,36.3,27.6,5.7,4.5,1.2,0.6,3.2,1.9,0.447,0.395,0.837,0.547,4.1,10.3,2177.0,450.0,359.0,91.0,51.0,20.1,0.595,31.4,2.4,14.8,8.7,20.9,1.6,1.7,12.0,4.6,3.8,8.4,0.14,4.4,0.0,4.3,4.6,0.65,5021000.0,9168783.0,Top 30 (Max),Elite Scorer (25+ PPG),Star (4-6 VORP),1,1,0,0,2024
Tyrese Haliburton,2024-25,IND,PG,24.0,73.0,73.0,100.0,NBA3,42176400.0,"$42,176,400",21.0,33.6,18.6,3.5,9.2,1.4,0.7,1.6,1.3,0.473,0.388,0.851,0.582,3.0,7.7,1359.0,258.0,673.0,105.0,49.0,21.8,0.616,21.6,1.9,9.7,5.9,38.9,2.1,1.8,9.8,8.1,2.3,10.4,0.204,5.7,0.2,5.8,4.9,0.44,4055423.0,8607429.0,Top 30 (Max),Starter (15-20 PPG),Star (4-6 VORP),0,0,0,0,2024
Pascal Siakam,2024-25,IND,PF,30.0,78.0,78.0,100.0,AS,42176400.0,"$42,176,400",21.0,32.7,20.2,6.9,3.4,0.9,0.5,1.4,2.4,0.519,0.389,0.734,0.572,1.6,4.2,1578.0,540.0,263.0,70.0,42.0,19.2,0.599,24.2,5.9,17.6,11.8,15.7,1.3,1.5,7.6,5.0,2.5,7.5,0.142,2.2,-0.5,1.7,2.4,0.48,5623520.0,17573500.0,Top 30 (Max),All-Star (20-25 PPG),Above Average (2-4 VORP),0,1,0,0,2024
