player_name,current_season,current_team,current_age,current_salary,current_salary_formatted,current_salary_rank,current_games,current_ppg,current_rpg,current_apg,current_PER,current_TS_pct,current_WS,current_VORP,current_BPM,previous_season,previous_team,previous_salary,previous_salary_rank,previous_games,previous_ppg,previous_rpg,previous_apg,previous_PER,previous_TS_pct,previous_WS,previous_VORP,previous_BPM,salary_change,salary_change_pct,ppg_change,rpg_change,apg_change,vorp_change,ws_change,performance_trend,impact_trend,season_year
Dyson Daniels,2024-25,ATL,21.0,6059520.0,"$6,059,520",222.0,76.0,14.1,5.9,4.4,15.6,0.545,5.0,2.3,1.5,2023-24,NOP,5784120.0,225.0,61.0,5.8,3.9,2.7,12.0,0.529,2.9,0.9,0.6,275400.0,4.8,8.3,2.0,1.7,1.4,2.1,Significantly Improved,Breakout,2024
Ausar Thompson,2024-25,DET,22.0,8376291.0,"$8,376,291",188.0,59.0,10.1,5.1,2.3,17.2,0.568,3.8,1.2,1.7,2023-24,DET,7977420.0,188.0,63.0,8.8,6.4,1.9,12.8,0.522,1.8,-0.1,-2.2,398871.0,5.0,1.3,-1.3,0.4,1.3,2.0,Improved,Breakout,2024
Scotty Pippen Jr.,2024-25,MEM,24.0,2087519.0,"$2,087,519",387.0,79.0,9.9,3.3,4.4,15.8,0.582,4.7,1.7,1.9,2023-24,MEM,,,21.0,12.9,3.2,4.7,16.4,0.596,1.0,0.4,1.3,2087519.0,208751800.0,-3.0,0.1,-0.3,1.3,3.7,Significantly Declined,Breakout,2024
Quentin Grimes,2024-25,2TM,24.0,4296682.0,"$4,296,682",264.0,75.0,14.6,4.3,3.0,15.9,0.595,3.4,1.2,0.4,2023-24,2TM,2385720.0,371.0,51.0,7.0,2.0,1.3,8.9,0.516,1.3,-0.1,-2.2,1910962.0,80.1,7.6,2.3,1.7,1.3,2.1,Significantly Improved,Breakout,2024
Dillon Brooks,2024-25,HOU,29.0,23255493.0,"$23,255,493",72.0,75.0,14.0,3.7,1.7,11.0,0.555,5.1,0.4,-1.4,2023-24,HOU,22627671.0,64.0,72.0,12.7,3.4,1.7,9.4,0.549,2.7,-0.9,-3.6,627822.0,2.8,1.3,0.3,0.0,1.3,2.4,Improved,Breakout,2024
Ja Morant,2024-25,MEM,25.0,36725670.0,"$36,725,670",28.0,50.0,23.2,4.1,7.3,19.3,0.563,3.5,1.7,2.4,2023-24,MEM,34005250.0,29.0,9.0,25.1,5.6,8.1,20.6,0.57,0.8,0.4,3.1,2720420.0,8.0,-1.9,-1.5,-0.8,1.3,2.7,Declined,Breakout,2024
Nikola Vučević,2024-25,CHI,34.0,20000000.0,"$20,000,000",84.0,73.0,18.5,10.1,3.5,20.3,0.611,7.3,2.7,2.6,2023-24,CHI,18518519.0,87.0,76.0,18.0,10.5,3.3,17.7,0.54,5.4,1.4,0.1,1481481.0,8.0,0.5,-0.4,0.2,1.3,1.9,Improved,Breakout,2024
Zach LaVine,2024-25,2TM,29.0,44531940.0,"$44,531,940",15.0,74.0,23.3,4.3,4.2,17.3,0.639,5.1,1.8,0.7,2023-24,CHI,40064220.0,16.0,25.0,19.5,5.2,3.9,15.1,0.578,1.5,0.5,0.1,4467720.0,11.2,3.8,-0.9,0.3,1.3,3.6,Significantly Improved,Breakout,2024
OG Anunoby,2024-25,NYK,27.0,36637932.0,"$36,637,932",31.0,74.0,18.0,4.8,2.2,15.4,0.591,6.5,1.9,0.7,2023-24,2TM,18642857.0,84.0,50.0,14.7,4.2,2.1,12.8,0.595,2.6,0.6,-0.6,17995075.0,96.5,3.3,0.6,0.1,1.3,3.9,Significantly Improved,Breakout,2024
Andrew Wiggins,2024-25,GSW,29.0,26276786.0,"$26,276,786",61.0,43.0,17.6,4.6,2.4,16.4,0.566,3.2,1.0,1.0,2023-24,GSW,24330357.0,59.0,71.0,13.2,4.5,1.7,12.7,0.544,2.8,-0.3,-2.5,1946429.0,8.0,4.4,0.1,0.7,1.3,0.4,Significantly Improved,Breakout,2024
Cameron Johnson,2024-25,BRK,28.0,23062500.0,"$23,062,500",73.0,57.0,18.8,4.3,3.4,18.2,0.632,5.1,2.3,3.1,2023-24,BRK,25679348.0,54.0,58.0,13.4,4.3,2.4,14.5,0.582,3.3,1.0,0.4,-2616848.0,-10.2,5.4,0.0,1.0,1.3,1.8,Significantly Improved,Breakout,2024
Mark Williams,2024-25,CHO,23.0,4094280.0,"$4,094,280",267.0,44.0,15.3,10.2,2.5,23.9,0.647,4.7,1.6,3.5,2023-24,CHO,3908160.0,275.0,19.0,12.7,9.7,1.2,22.5,0.675,2.1,0.3,0.8,186120.0,4.8,2.6,0.5,1.3,1.3,2.6,Significantly Improved,Breakout,2024
Karl-Anthony Towns,2024-25,NYK,29.0,49205800.0,"$49,205,800",6.0,72.0,24.4,12.8,3.1,23.4,0.63,10.1,3.5,3.6,2023-24,MIN,36016200.0,24.0,62.0,21.8,8.3,3.0,18.8,0.625,6.3,2.3,2.5,13189600.0,36.6,2.6,4.5,0.1,1.2,3.8,Significantly Improved,Breakout,2024
De'Andre Hunter,2024-25,2TM,27.0,21696429.0,"$21,696,429",81.0,64.0,17.0,4.0,1.4,15.9,0.623,4.4,1.0,0.4,2023-24,ATL,20089286.0,73.0,57.0,15.6,3.9,1.5,12.7,0.595,2.2,-0.2,-2.4,1607143.0,8.0,1.4,0.1,-0.1,1.2,2.2,Improved,Breakout,2024
RJ Barrett,2024-25,TOR,24.0,25794643.0,"$25,794,643",63.0,58.0,21.1,6.3,5.4,16.5,0.547,2.4,1.2,0.6,2023-24,NYK,23883929.0,61.0,26.0,18.2,4.3,2.4,14.3,0.536,1.1,0.0,-2.0,1910714.0,8.0,2.9,2.0,3.0,1.2,1.3,Significantly Improved,Breakout,2024
Pascal Siakam,2024-25,IND,30.0,42176400.0,"$42,176,400",21.0,78.0,20.2,6.9,3.4,19.2,0.599,7.5,2.4,1.7,2023-24,TOR,37893408.0,21.0,39.0,22.2,6.3,4.9,18.8,0.6,3.0,1.2,1.4,4282992.0,11.3,-2.0,0.6,-1.5,1.2,4.5,Declined,Breakout,2024
Desmond Bane,2024-25,MEM,26.0,34005250.0,"$34,005,250",42.0,69.0,19.2,6.1,5.3,17.9,0.6,6.5,2.9,3.2,2023-24,MEM,3845083.0,279.0,42.0,23.7,4.4,5.5,18.5,0.589,3.1,1.7,2.8,30160167.0,784.4,-4.5,1.7,-0.2,1.2,3.4,Significantly Declined,Breakout,2024
Jordan Clarkson,2024-25,UTA,32.0,14092577.0,"$14,092,577",115.0,37.0,16.2,3.2,3.7,14.5,0.54,0.4,0.1,-1.5,2023-24,UTA,23487629.0,62.0,55.0,17.1,3.4,5.0,12.7,0.521,0.2,-1.1,-4.5,-9395052.0,-40.0,-0.9,-0.2,-1.3,1.2,0.2,Declined,Breakout,2024
Norman Powell,2024-25,LAC,31.0,19241379.0,"$19,241,379",90.0,60.0,21.8,3.2,2.1,17.5,0.615,5.3,1.8,1.5,2023-24,LAC,18000000.0,90.0,76.0,13.9,2.6,1.1,13.9,0.626,4.1,0.6,-0.8,1241379.0,6.9,7.9,0.6,1.0,1.2,1.2,Significantly Improved,Breakout,2024
Onyeka Okongwu,2024-25,ATL,24.0,14000000.0,"$14,000,000",116.0,74.0,13.4,8.9,2.3,19.0,0.634,7.2,1.7,1.3,2023-24,ATL,8109063.0,180.0,55.0,10.2,6.8,1.3,16.9,0.674,4.5,0.5,-0.4,5890937.0,72.6,3.2,2.1,1.0,1.2,2.7,Significantly Improved,Breakout,2024
Ochai Agbaji,2024-25,TOR,24.0,4310280.0,"$4,310,280",262.0,64.0,10.4,3.8,1.5,12.0,0.601,3.1,0.5,-0.7,2023-24,TOR,4114200.0,268.0,27.0,6.7,3.3,1.3,7.1,0.453,-0.3,-0.7,-6.5,196080.0,4.8,3.7,0.5,0.2,1.2,3.4,Significantly Improved,Breakout,2024
Quentin Grimes,2024-25,2TM,24.0,4296682.0,"$4,296,682",264.0,75.0,14.6,4.3,3.0,15.9,0.595,3.4,1.2,0.4,2023-24,NYK,2385720.0,371.0,45.0,7.3,2.0,1.2,9.5,0.543,1.5,0.1,-1.5,1910962.0,80.1,7.3,2.3,1.8,1.1,1.9,Significantly Improved,Breakout,2024
Jay Huff,2024-25,MEM,26.0,2088033.0,"$2,088,033",386.0,64.0,6.9,2.0,0.6,18.2,0.666,2.5,1.1,3.5,2023-24,DEN,,,20.0,1.2,0.6,0.1,18.5,0.724,0.2,0.0,1.3,2088033.0,208803200.0,5.7,1.4,0.5,1.1,2.3,Significantly Improved,Breakout,2024
Harrison Barnes,2024-25,SAS,32.0,18000000.0,"$18,000,000",97.0,82.0,12.3,3.8,1.7,14.9,0.656,5.6,1.2,0.0,2023-24,SAC,17000000.0,97.0,82.0,12.2,3.0,1.2,11.9,0.611,4.7,0.1,-1.8,1000000.0,5.9,0.1,0.8,0.5,1.1,0.9,Improved,Breakout,2024
Jeremy Sochan,2024-25,SAS,21.0,5570040.0,"$5,570,040",230.0,54.0,11.4,6.5,2.4,15.9,0.589,2.7,0.3,-1.2,2023-24,SAS,5316960.0,233.0,74.0,11.6,6.4,3.4,11.4,0.513,1.4,-0.8,-3.4,253080.0,4.8,-0.2,0.1,-1.0,1.1,1.3,Declined,Breakout,2024
Keon Ellis,2024-25,SAC,25.0,2120693.0,"$2,120,693",381.0,80.0,8.3,2.7,1.5,13.5,0.664,5.0,1.9,1.9,2023-24,SAC,683430.0,495.0,57.0,5.4,2.2,1.5,12.0,0.627,2.3,0.8,1.2,1437263.0,210.3,2.9,0.5,0.0,1.1,2.7,Significantly Improved,Breakout,2024
Jaden Ivey,2024-25,DET,22.0,7977240.0,"$7,977,240",196.0,30.0,17.6,4.1,4.0,14.7,0.569,1.2,0.5,0.0,2023-24,DET,7614480.0,193.0,77.0,15.4,3.4,3.8,12.4,0.536,0.5,-0.6,-3.1,362760.0,4.8,2.2,0.7,0.2,1.1,0.7,Significantly Improved,Breakout,2024
Jaren Jackson Jr.,2024-25,MEM,25.0,25257798.0,"$25,257,798",65.0,74.0,22.2,5.6,2.0,19.6,0.591,6.4,2.4,2.3,2023-24,MEM,27102202.0,50.0,66.0,22.5,5.5,2.3,17.4,0.552,3.0,1.3,0.4,-1844404.0,-6.8,-0.3,0.1,-0.3,1.1,3.4,Declined,Breakout,2024
LaMelo Ball,2024-25,CHO,23.0,35147000.0,"$35,147,000",37.0,47.0,25.2,4.9,7.4,19.1,0.536,2.0,2.0,3.2,2023-24,CHO,10900635.0,147.0,22.0,23.9,5.1,8.0,20.8,0.561,1.1,1.0,3.3,24246365.0,222.4,1.3,-0.2,-0.6,1.0,0.9,Improved,Improving,2024
Austin Reaves,2024-25,LAL,26.0,12976362.0,"$12,976,362",123.0,73.0,20.2,4.5,5.8,18.1,0.616,7.6,2.6,1.9,2023-24,LAL,12015150.0,131.0,82.0,15.9,4.3,5.5,15.5,0.613,5.9,1.6,0.4,961212.0,8.0,4.3,0.2,0.3,1.0,1.7,Significantly Improved,Improving,2024
Jalen Williams,2024-25,OKC,23.0,4775760.0,"$4,775,760",249.0,69.0,21.6,5.3,5.1,20.3,0.573,7.8,3.4,4.0,2023-24,OKC,4558680.0,254.0,71.0,19.1,4.0,4.5,19.1,0.621,7.3,2.4,2.3,217080.0,4.8,2.5,1.3,0.6,1.0,0.5,Significantly Improved,Improving,2024
Quentin Grimes,2024-25,PHI,24.0,4296682.0,"$4,296,682",264.0,28.0,21.9,5.2,4.5,18.8,0.592,1.6,0.8,1.2,2023-24,DET,2385720.0,371.0,6.0,5.3,2.0,2.3,3.9,0.342,-0.3,-0.2,-8.1,1910962.0,80.1,16.6,3.2,2.2,1.0,1.9,Significantly Improved,Improving,2024
Vit Krejci,2024-25,ATL,24.0,2162606.0,"$2,162,606",376.0,57.0,7.2,2.7,2.6,12.7,0.661,2.6,0.8,0.7,2023-24,ATL,,,22.0,6.1,2.4,2.3,8.4,0.633,0.6,-0.2,-3.7,2162606.0,216260500.0,1.1,0.3,0.3,1.0,2.0,Improved,Improving,2024
David Roddy,2024-25,3TM,23.0,2847240.0,"$2,847,240",328.0,33.0,4.6,2.5,1.1,11.9,0.561,0.5,0.1,-1.5,2023-24,2TM,2718240.0,339.0,65.0,6.5,3.2,1.2,8.7,0.484,0.1,-0.9,-5.0,129000.0,4.7,-1.9,-0.7,-0.1,1.0,0.4,Declined,Breakout,2024
David Roddy,2024-25,ATL,23.0,2847240.0,"$2,847,240",328.0,27.0,4.5,2.6,1.1,11.8,0.594,0.5,0.1,-1.2,2023-24,2TM,2718240.0,339.0,65.0,6.5,3.2,1.2,8.7,0.484,0.1,-0.9,-5.0,129000.0,4.7,-2.0,-0.6,-0.1,1.0,0.4,Declined,Breakout,2024
Alec Burks,2024-25,MIA,33.0,3303771.0,"$3,303,771",292.0,49.0,7.3,2.5,1.1,12.8,0.608,1.8,0.5,0.3,2023-24,NYK,10489600.0,153.0,23.0,6.5,1.7,0.9,6.5,0.42,-0.4,-0.5,-7.8,-7185829.0,-68.5,0.8,0.8,0.2,1.0,2.2,Improved,Improving,2024
